tick,n_assemblies,mean_energy_global,reward
6,1,0.21,0.7037037037037037
11,1,0.21,0.7037037037037037
16,1,0.21,0.7037037037037037
21,1,0.21,0.7037037037037037
26,1,0.21,0.7037037037037037
31,1,0.21,0.7037037037037037
36,1,0.21,0.7037037037037037
41,1,0.21,0.7037037037037037
46,1,0.21,0.7037037037037037
51,1,0.21,0.7037037037037037
56,1,0.21,0.7037037037037037
61,1,0.21,0.7037037037037037
66,1,0.21,0.7037037037037037
71,1,0.21,0.7037037037037037
76,1,0.21,0.7037037037037037
81,1,0.21,0.7037037037037037
86,1,0.21,0.7037037037037037
91,1,0.21,0.7037037037037037
96,1,0.21,0.7037037037037037
101,1,0.21,0.7037037037037037
106,1,0.21,0.7037037037037037
111,1,0.21,0.7037037037037037
116,1,0.21,0.7037037037037037
121,1,0.21,0.7037037037037037
126,1,0.21,0.7037037037037037
131,1,0.21,0.7037037037037037
136,1,0.21,0.7037037037037037
141,1,0.21,0.7037037037037037
146,1,0.21,0.7037037037037037
151,1,0.21,0.7037037037037037
156,1,0.21,0.7037037037037037
161,1,0.21,0.7037037037037037
166,1,0.21,0.7037037037037037
171,1,0.21,0.7037037037037037
176,1,0.21,0.7037037037037037
181,1,0.21,0.7037037037037037
186,1,0.21,0.7037037037037037
191,1,0.21,0.7037037037037037
196,1,0.21,0.7037037037037037
201,1,0.21,0.7037037037037037
206,1,0.21,0.7037037037037037
211,1,0.21,0.7037037037037037
216,1,0.21,0.7037037037037037
221,1,0.21,0.7037037037037037
226,1,0.21,0.7037037037037037
231,1,0.21,0.7037037037037037
236,1,0.21,0.7037037037037037
241,1,0.21,0.7037037037037037
246,1,0.21,0.7037037037037037
251,1,0.21,0.7037037037037037
256,1,0.21,0.7037037037037037
261,1,0.21,0.7037037037037037
266,1,0.21,0.7037037037037037
271,1,0.21,0.7037037037037037
276,1,0.21,0.7037037037037037
281,1,0.21,0.7037037037037037
286,1,0.21,0.7037037037037037
291,1,0.21,0.7037037037037037
296,1,0.21,0.7037037037037037
301,1,0.21,0.7037037037037037
